State,College,SATM,SATV,AppsReceive,AppsAccept,HStop10,HStop25,FullTime,Tuition,RoomBoard,Books,Ratio,Donate,Expend,GradRate,Type,AvgSalary,NumFaculty
AK,Alaska Pacific University,490,482,193,146,16,44,249,7560,4120,800,11.9,2,10922,15,private,382,32
AL,Birmingham-Southern College,575,525,805,588,67,88,1376,11660,4325,400,14,34,8649,72,private,401,89
AL,Huntingdon College,513,446,608,520,26,47,538,8080,3920,500,11.4,9,7703,44,private,301,44
AR,Hendrix College,564,525,823,721,52,87,954,8800,3195,500,13.1,26,8588,63,private,421,65
AR,John Brown University,509,484,605,405,24,53,961,6398,3672,400,13.3,19,8118,75,private,341,58
AR,Harding University,530,490,1721,1068,35,75,3128,5504,3528,700,17.7,37,6466,73,private,380,179
AZ,Arizona State University Main ca,521,453,12809,10308,24,49,22593,1828,4850,700,18.9,5,4602,48,public,489,1383
AZ,Northern Arizona University,495,444,5891,4931,23,48,11249,1828,3728,620,21.7,7,6157,41,public,412,608
CA,California Institute of Technolo,750,660,1916,507,98,100,912,16695,5051,735,6.5,36,62469,83,private,866,257
CA,California Lutheran University,495,436,563,247,23,52,1427,12950,5300,612,12.4,17,8985,60,private,398,92
CA,California Polytechnic-San Luis,547,455,7811,3817,47,73,12911,2033,4877,612,19.8,13,8453,59,public,571,670
CA,Chapman University,501,456,959,771,23,48,1662,16624,5895,600,12.8,6,12692,47,private,491,111
CA,Claremont McKenna College,670,600,1860,767,71,93,887,17000,6010,500,9.6,52,18443,87,private,601,67
CA,Harvey Mudd College,740,630,1377,572,95,100,654,17230,6690,700,8.2,46,21569,100,private,638,68
CA,Pitzer College,590,560,1133,630,37,73,750,17688,5900,650,10.4,11,14820,73,private,547,54
CA,Pomona College,700,640,3037,1130,80,98,1500,17720,7220,800,8.9,47,20682,91,private,566,161
CA,Scripps College,590,560,855,632,60,83,569,17238,7350,600,8.2,41,18372,73,private,511,54
CA,Occidental College,570,510,2324,1319,52,81,1686,16560,5140,558,10.5,30,16196,79,private,490,139
CA,Fresno Pacific College,532,476,346,274,51,87,704,9900,3670,630,10.5,14,8095,54,private,361,54
CA,Point Loma Nazarene College,472,425,809,687,20,43,1889,10176,4190,800,16.1,19,7895,54,private,429,94
CA,Pepperdine University,585,514,3821,2037,86,96,2488,18200,6770,500,11.6,13,16185,66,private,637,231
CA,St. Mary's College of California,549,483,2643,1611,36,80,2615,13332,6354,630,16.1,17,9619,78,private,500,135
CA,University of San Francisco,514,463,2306,1721,23,48,4309,13226,6452,750,13.6,8,10074,62,private,514,287
