sex,destcode,origincode,Y1960,Y1970,Y1980,Y1990,Y2000
Male,FRA,AFG,1471,29,55,91,923
Male,FRA,DZA,521679,723746,794288,861691,425229
Male,FRA,AUS,14614,1906,1483,903,9168
Male,FRA,AUT,12375,4861,4686,2761,7764
Male,FRA,AZE,188,4,20,12,118
Male,FRA,BLR,390,0,26,88,245
Male,FRA,BLZ,623,22,25,38,391
Male,FRA,BEN,233,5736,4409,397,166
Male,FRA,ALB,15967,17,4,3586,10017
Male,FRA,ASM,0,0,0,0,0
Male,FRA,AND,194,0,436,43,122
Male,FRA,AGO,6408,130,76,10907,4558
Male,FRA,AIA,2,0,0,0,1
Male,FRA,ATG,4,0,0,0,2
Male,FRA,ARG,8882,4217,4224,549,5572
Male,FRA,ARM,1461,29,167,90,917
Male,FRA,ABW,71,2,3,4,45
Male,FRA,BHS,14,0,0,0,9
Male,FRA,BHR,26,0,0,2,16
Male,FRA,BGD,11558,225,427,714,7251
Male,FRA,BRB,2590,90,104,160,1625
Male,FRA,BEL,26427,52590,52083,70815,16580
Male,FRA,BMU,8,0,0,0,5
Male,FRA,BTN,3,0,0,0,2
Male,FRA,BOL,797,0,0,49,500
Male,FRA,BIH,18396,12303,12982,4131,11541
Male,FRA,BWA,38,0,0,65,27
Male,FRA,BRA,7756,6092,3173,479,4866
Male,FRA,BRN,24,0,0,1,15
Male,FRA,BGR,3921,1750,1705,882,2460
Male,FRA,BFA,118,2487,2588,201,84
Male,FRA,BDI,38,0,0,64,27
Male,FRA,KHM,3753,30436,23565,232,2354
Male,FRA,CMR,667,13774,11003,1136,475
Male,FRA,CAN,15716,8103,6569,971,9859
Male,FRA,CPV,1707,34,20,2905,1214
Male,FRA,CYM,3,0,0,0,2
Male,FRA,CAF,162,3912,2318,276,115
Male,FRA,TCD,111,2333,2079,189,79
Male,FRA,CHI,NA,NA,NA,NA,NA
Male,FRA,CHL,5375,6180,3663,332,3372
Male,FRA,CHN,10590,9650,4744,655,6644
Male,FRA,COL,8849,3853,1112,547,5552
Male,FRA,COM,229,6663,4505,389,163
Male,FRA,COD,1251,14650,5530,2129,890
Male,FRA,COG,635,11503,8193,1080,451
Male,FRA,COK,0,0,0,0,0
Male,FRA,CRI,378,13,15,23,237
Male,FRA,CIV,735,17503,11772,1250,522
Male,FRA,HRV,3962,2853,3011,889,2486
Male,FRA,CUB,5898,205,236,365,3700
Male,FRA,CYP,14323,15,4,3246,8986
Male,FRA,CZE,108945,4417,5080,24551,68349
Male,FRA,DNK,13303,1732,1234,2976,8346
Male,FRA,DJI,43,0,1820,73,30
Male,FRA,DMA,57,2,2,3,36
Male,FRA,DOM,3515,122,141,217,2205
Male,FRA,ECU,8765,0,1,542,5499
Male,FRA,EGY,2497,12141,10513,4250,1776
Male,FRA,SLV,765,27,31,47,480
Male,FRA,GNQ,177,4,2,302,126
Male,FRA,ERI,98,2,1,167,70
