,Q1,Q2,Q3_A,Q3_B,Q3_C,Q3_D,Q4,Q5,Q6_A,Q6_B,Q6_C,Q6_D,Q6_E,Q8,Q9A,Q9B,Q9C,Q10,Q11,Q12,OFTVOTE,SNS,PARTY,PARTYLN,IDEO,SEX,MARITAL,Q16,Q17_A,Q17_B,Q17_C,Q17_D,Q17_E,Q17_F,Q17_G,Q24,Q25,QR2,LGBT,Q27,Q31,Q32,Q32A_Codes,Q32A_posOE1,Q32A_posOE2,Q32A_posOE3,Q32A_posOE4,Q32A_negOE1,Q32A_negOE2,Q32A_negOE3,Q33_A,Q33_B,Q33_C,Q33_D,Q39,Q40,Q41,Q42,Q44,Q44new_OE1,Q44new_OE2,Q44new_OE3,q44aNEW,q44compNEW,Q44B,Q44C,Q45,Q45new_OE1,Q45new_OE2,Q45new_OE3,q45aNEW,q45compNEW,Q45B,Q45C,Q46,q46aNEW,q46compNEW,Q47,q47aNEW,q47compNEW,Q48,Q49,q52oe_1,q52oe_2,q52oe_3,Q53,Q54,Q55,Q56_A,Q56_B,Q56_C,Q56_D,Q56_E,Q56_F,Q56_G,Q63_A,Q63_B,Q63_C,Q63_D,Q63_E,Q63_F,Q64_OE1,Q64_OE2,Q64_OE3,Q65_A,Q65_B,Q65_C,Q65_D,Q65_E,Q66_A,Q66_B,Q66_C,Q66_D,Q66_E,Q66_F,Q67,Q68,Q70,Q71,Q72,Q73,Q74,Q80_A,Q80_B,Q80_C,Q80_D,Q80_E,Q80_F,Q80_G,Q82_A,Q82_B,Q82_C,Q82_D,Q82_E,Q82_F,Q83_A,Q83_B,Q83_C,Q83_D,Q83_E,Q83_F,Q84,Q85,Q85a,Q86,Q87,Q88,Q89,Q90,Q92,Q93,Q94,Q95,Q96,EMPLOY2,Q98,Q99,Q102A,Q102B,Q102C,Q102D,USBORN,religNEW,CHR,BORN,ATTEND,IMP,REG,INCOME,ppagecat,PPEDUCAT,PPETHM,PPHHHEAD,PPHHSIZEnew,PPT017,PPMSACAT,PPRENT,PPNET,weight,duration
1,Pretty happy,Wrong track,Mostly favorable,Mostly favorable,Very unfavorable,Mostly unfavorable,"A bigger government, providing more services",Most of the time,Some,Some,A lot,Some,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,You can't be too careful in dealing with people,Poor people have hard lives because government benefits don't go far enough to help them live decently,Poor shape,Strongly favor,Strongly favor,Always,NA,Democrat,NA,Very liberal,Female,Never been married,No,Not an important reason,Not an important reason,Not an important reason,Somewhat important reason,Somewhat important reason,Somewhat important reason,Not an important reason,Heterosexual or straight,No,NA,bisexual,Somewhat more attracted to females than males,Extremely important,Something positive,NA,No answer,NA,NA,NA,NA,NA,NA,A lot,A lot,NA,A lot,17,NA,19,21,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Grow stronger,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was difficult to tell him,Grow stronger,"Yes, told one or more sisters",NA,Yes told sister,Not applicable,No brothers or brothers not part of life,"N/A no brothers or died/sick, not part of life","Yes, told one or more close friends",All or most of them,DK/No answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Refused to answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,25-34,Bachelor's degree or higher,"White, Non-Hispanic",No,4,No people < 18 yrs in HH,Metro,Occupied without payment of cash rent,No,0.1417,5
2,Pretty happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Mostly favorable,"A bigger government, providing more services",Most of the time,Some,Some,Some,Some,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Good shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Very liberal,Male,Never been married,No,Somewhat important reason,Somewhat important reason,Very important reason,Somewhat important reason,Somewhat important reason,Somewhat important reason,Not an important reason,Gay,No,NA,gay,Only or mostly attracted to males,Not too important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Some,Some,8,NA,19,20,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Grow weaker,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was not difficult to tell him,Not change,Not applicable,No sisters or sisters not part of life,"N/A no sisters or died/sick, not part of life",Not applicable,No brothers or brothers not part of life,"N/A no brothers or died/sick, not part of life","Yes, told one or more close friends",All or most of them,Ignorance/misunderstanding/stupidity/fear/stereotyping,NA,NA,Some,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Friendly,Unfriendly,Neutral,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a little,Barack Obama,Ellen DeGeneres,Barney Frank,Some,Some,Some,Some,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Friendly,"No, no conflict",NA,Not a reason,A lot,Yes,NA,Some of them,Very important but lower priority,Top priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Somewhat important priority,Never happened,"Yes, happened, but not in past 12 months",Never happened,Never happened,Never happened,"Yes, happened, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","No, do not regularly discuss LGBT issues",No,Not sure,NA,NA,NA,NA,No,NA,NA,NA,No,Employed full-time,Very accepting,All or most of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",The best way to achieve equality is for LGBT people to be a part of  mainstream culture and institutions like marriage,I don't want to be seen as different because of my {#\.POV_Q32},These types of places will not be important as LGBT people are more accepted into society,"Born in U.S., P.R. or Territories","All others for example: Orthodox, Mormon, Jewish, Muslim, Buddhist, Hindu, Unitarian, Something else",NA,NA,Never,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$100,000 to under $150,000",45-54,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.1417,9
3,Not too happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Mostly unfavorable,"A bigger government, providing more services",Some of the time,A lot,A lot,A lot,A lot,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Only fair shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Very liberal,Female,Widowed,No,Very important reason,Very important reason,Very important reason,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Lesbian,No,NA,lesbian,Only or mostly attracted to females,Somewhat important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,7,NA,16,23,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Grow stronger,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was difficult to tell him,Grow stronger,Not applicable,No sisters or sisters not part of life,"N/A no sisters or died/sick, not part of life","Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Ignorance/misunderstanding/stupidity/fear/stereotyping,NA,NA,Some,A little more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Unfriendly,Unfriendly,Unfriendly,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a little,No one specific,NA,NA,Some,Some,Some,Some,Some,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Neutral,"No, no conflict",NA,Major reason,A lot,No,Yes,All or most of them,Top priority,Top priority,Top priority,Top priority,Top priority,Top priority,Top priority,Never happened,"Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months",Never happened,"Yes, happened, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","No, never done this","No, do not regularly discuss LGBT issues",Yes,Not sure,NA,NA,NA,NA,No,NA,NA,NA,No,Employed full-time,Very accepting,All or most of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",The best way to achieve equality is for LGBT people to be a part of  mainstream culture and institutions like marriage,"My {#\.POV_Q32}  makes me  different from other people, and I am comfortable with that",These types of places will not be important as LGBT people are more accepted into society,"Born in U.S., P.R. or Territories",Nothing in particular,No,NA,Seldom,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$50,000 to under $75,000",45-54,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.1417,11
4,Pretty happy,Right direction,Mostly favorable,Mostly favorable,Mostly unfavorable,Mostly unfavorable,"A smaller government, providing fewer services",Most of the time,Some,Some,A lot,A lot,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,You can't be too careful in dealing with people,Poor people today have it easy because they can get government benefits without doing anything in return,Good shape,Strongly favor,Strongly favor,Always,Yes,Independent,The Democratic Party,Moderate,Female,"Living with a partner, including a civil union",NA,Very important reason,Very important reason,Very important reason,Very important reason,Very important reason,Very important reason,Not an important reason,Lesbian,No,NA,lesbian,Only or mostly attracted to females,Very important,Something positive,NA,Defines me/proud of/happy with who I am/Born this way/God made me this way,NA,NA,NA,NA,NA,NA,NA,Some,Only a little,Only a little,12,NA,18,18,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was not difficult to tell her,Not change,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was not difficult to tell him,Not change,"Yes, told one or more sisters",NA,Yes told sister,"Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,Ignorance/misunderstanding/stupidity/fear/stereotyping,Religious opposition/the religious right,Some,A little more accepting,A little more accepting,Friendly,Unfriendly,Neutral,Friendly,Neutral,Unfriendly,Unfriendly,Helps a lot,Helps a lot,Helps a lot,Helps a little,Helps a lot,Helps a little,Political figures (general),Religious figures/church leaders (general),NA,Only a little,Some,None at all,Some,None at all,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Unfriendly,"No, no conflict",NA,Not a reason,Only a little,No,No,Some of them,Top priority,Very important but lower priority,Somewhat important priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Somewhat important priority,Never happened,"Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months",Never happened,Never happened,"Yes, happened, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","No, never done this","No, do not regularly discuss LGBT issues",No,Yes,Female,NA,NA,No,No,NA,No,NA,No,Employed full-time,Somewhat accepting,All or most of them,The push for same-sex marriage has taken too much focus away from other issues important to LGBT people,LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,I don't want to be seen as different because of my {#\.POV_Q32},These types of places will not be important as LGBT people are more accepted into society,"Born in U.S., P.R. or Territories",Nothing in particular,Yes,"No, not born again",Never,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$100,000 to under $150,000",55-64,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.1417,11
5,Pretty happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Mostly unfavorable,"A bigger government, providing more services",Most of the time,Some,A lot,A lot,Some,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Good shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Very liberal,Male,"Living with a partner, including a civil union",NA,Very important reason,Very important reason,Very important reason,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Gay,No,NA,gay,Only or mostly attracted to males,Extremely important,Something positive,NA,Makes me a stronger person/Role model for other LGBT,NA,NA,NA,NA,NA,NA,Some,NA,Some,Some,10,NA,18,NA,"No, did not tell my mother",No need to (unspecified),NA,NA,NA,No did not tell mom (but could have),NA,NA,"No, did not tell my father",No need to (unspecified),NA,NA,NA,No did not tell dad (but could have),NA,NA,Not applicable,No sisters or sisters not part of life,"N/A no sisters or died/sick, not part of life",Not applicable,No brothers or brothers not part of life,"N/A no brothers or died/sick, not part of life","Yes, told one or more close friends",All or most of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,NA,NA,Some,A little more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Friendly,Neutral,Neutral,Helps a lot,Helps a little,Helps a lot,Helps a lot,Helps a little,Helps a little,Barack Obama,NA,NA,Some,Some,Some,Some,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Neutral,"No, no conflict",NA,Not a reason,Some,Yes,NA,All or most of them,Top priority,Very important but lower priority,Top priority,Top priority,Top priority,Top priority,Very important but lower priority,"Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months",Never happened,Never happened,"Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","No, never done this","Yes, but not in past 12 months","No, do not regularly discuss LGBT issues",Yes,Not sure,Male,NA,NA,No,No,NA,No,NA,NA,Retired,NA,NA,The push for same-sex marriage has taken too much focus away from other issues important to LGBT people,LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,"My {#\.POV_Q32}  makes me  different from other people, and I am comfortable with that",It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Protestant,NA,"No, not born again",Seldom,Somewhat important,I am absolutely certain that I am registered to vote at my current address,"$75,000 to under $100,000",55-64,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.1417,12
6,Pretty happy,Wrong track,Mostly unfavorable,Mostly unfavorable,Mostly unfavorable,Mostly favorable,"A smaller government, providing fewer services",Only now and then,Some,Some,A lot,Only a little,A lot,To protect the right of Americans to own guns,"Immigrants today are a burden on our country because they take our jobs, housing and health care",You can't be too careful in dealing with people,Poor people today have it easy because they can get government benefits without doing anything in return,Good shape,Favor,Strongly favor,Nearly always,Yes,Independent,The Republican Party,Moderate,Female,Never been married,No,Somewhat important reason,Very important reason,Very important reason,Very important reason,Very important reason,Not an important reason,Not an important reason,Bisexual,No,NA,bisexual,Somewhat more attracted to females than males,Very important,Something negative,NA,NA,NA,NA,NA,"Discrimination/Lack of social acceptance or understanding (by society, family, friends)",NA,NA,Some,Not at all,NA,Not at all,17,NA,22,22,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Not change,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was difficult to tell him,Grow weaker,"Yes, told one or more sisters",NA,Yes told sister,Not applicable,No brothers or brothers not part of life,"N/A no brothers or died/sick, not part of life","Yes, told one or more close friends",Some of them,Ignorance/misunderstanding/stupidity/fear/stereotyping,NA,NA,Only a little,A lot more accepting,A lot more accepting,Neutral,Unfriendly,Neutral,Friendly,Friendly,Unfriendly,Unfriendly,Helps a lot,Helps a little,Helps a lot,Helps a little,Helps a lot,Does not help,Sports figures (general),NA,NA,Only a little,Only a little,None at all,Some,None at all,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,"Yes, conflict",A lot of conflict,Minor reason,Some,No,No,Only a few of them,Top priority,Somewhat important priority,Top priority,Top priority,Very important but lower priority,Top priority,Not a priority at all,Never happened,Never happened,Never happened,Never happened,Never happened,"Yes, happened in past 12 months","No, never done this","No, never done this","No, never done this","No, never done this","No, never done this","No, never done this","Yes, in past 12 months","No, do not regularly discuss LGBT issues",No,Yes,NA,NA,NA,NA,No,NA,NA,NA,Not sure,Employed full-time,Not too accepting,None of them,The push for same-sex marriage has taken too much focus away from other issues important to LGBT people,LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,I don't want to be seen as different because of my {#\.POV_Q32},It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Protestant,NA,"Yes, born again",A few times a year,Somewhat important,I am absolutely certain that I am registered to vote at my current address,"Less than $20,000",25-34,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Rented for cash,Yes,0.1417,12
7,Pretty happy,Wrong track,Very favorable,Mostly favorable,Mostly unfavorable,Mostly favorable,"A smaller government, providing fewer services",Only now and then,Some,A lot,A lot,Only a little,A lot,To protect the right of Americans to own guns,Immigrants today strengthen our country because of their hard work and talents,You can't be too careful in dealing with people,Poor people have hard lives because government benefits don't go far enough to help them live decently,Only fair shape,Strongly favor,Strongly favor,Seldom,Yes,"Something else, please specify:",The Democratic Party,Liberal,Female,"Living with a partner, including a civil union",NA,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Very important reason,Not an important reason,Not an important reason,Bisexual,No,NA,bisexual,Somewhat more attracted to males than females,Not too important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,Only a little,Only a little,NA,Not at all,21,NA,24,26,"No, did not tell my mother",No answer,NA,NA,NA,No did not tell mom (but could have),NA,NA,"No, did not tell my father",No answer,NA,NA,NA,No did not tell dad (but could have),NA,NA,Not applicable,No sisters or sisters not part of life,"N/A no sisters or died/sick, not part of life","Yes, told one or more brothers",NA,Yes told brother,"No, did not",Only a few of them,Ignorance/misunderstanding/stupidity/fear/stereotyping,Right to marry,NA,Only a little,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Neutral,Neutral,Unfriendly,Unfriendly,Helps a lot,Helps a lot,Helps a lot,Helps a little,Helps a lot,Helps a little,Refused to answer,NA,NA,Some,Only a little,None at all,None at all,None at all,Neutral,Unfriendly,Unfriendly,Unfriendly,NA,Neutral,"No, no conflict",NA,Not a reason,Some,No,No,None of them,Top priority,Top priority,Top priority,Very important but lower priority,Very important but lower priority,Somewhat important priority,Somewhat important priority,Never happened,Never happened,Never happened,Never happened,Never happened,Never happened,"No, never done this","No, never done this","No, never done this","No, never done this","No, never done this","No, never done this","No, never done this","No, do not regularly discuss LGBT issues",No,Yes,Male,NA,NA,No,No,NA,No,NA,Yes,Employed full-time,Not too accepting,None of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",The best way to achieve equality is for LGBT people to be a part of  mainstream culture and institutions like marriage,I don't want to be seen as different because of my {#\.POV_Q32},It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Agnostic or Atheist,NA,NA,Never,Not at all important,I am not registered to vote at my current address,"$50,000 to under $75,000",25-34,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Rented for cash,Yes,0.1417,12
8,Pretty happy,Right direction,Mostly favorable,Mostly unfavorable,Very unfavorable,Mostly unfavorable,"A bigger government, providing more services",Most of the time,Some,Some,Some,Some,A lot,To protect the right of Americans to own guns,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Only fair shape,Strongly favor,Strongly favor,Always,Yes,Independent,The Democratic Party,Very liberal,Female,Married,NA,Somewhat important reason,Somewhat important reason,Very important reason,Not an important reason,Very important reason,Very important reason,Not an important reason,Heterosexual or straight,No,NA,bisexual,Somewhat more attracted to males than females,Not too important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,NA,Some,10,NA,14,16,"No, did not tell my mother",Not important/Never came up/Don't discuss this topic with parents/None of their business,NA,NA,NA,No did not tell mom (but could have),NA,NA,"No, did not tell my father",Not important/Never came up/Don't discuss this topic with parents/None of their business,NA,NA,NA,No did not tell dad (but could have),NA,NA,"Yes, told one or more sisters",NA,Yes told sister,Not applicable,No brothers or brothers not part of life,"N/A no brothers or died/sick, not part of life","Yes, told one or more close friends",All or most of them,Self-esteem/self-acceptance/problems of own making,NA,NA,Some,A lot more accepting,A lot more accepting,Neutral,Unfriendly,Neutral,Neutral,Unfriendly,Unfriendly,Unfriendly,Helps a lot,Helps a little,Helps a little,Helps a little,Helps a lot,Helps a little,George Takei,NA,NA,Some,Some,Only a little,A lot,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Neutral,"No, no conflict",NA,Minor reason,Some,No,Yes,Only a few of them,Somewhat important priority,Top priority,Very important but lower priority,Very important but lower priority,Somewhat important priority,Somewhat important priority,Very important but lower priority,Never happened,"Yes, happened, but not in past 12 months",Never happened,"Yes, happened, but not in past 12 months",Never happened,"Yes, happened, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","No, never done this","No, never done this","No, do not regularly discuss LGBT issues",No,NA,Male,NA,Legally married under state law,NA,Yes,Yes,NA,Yes,NA,Employed part-time,Very accepting,None of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,"My {#\.POV_Q32}  makes me  different from other people, and I am comfortable with that",These types of places will not be important as LGBT people are more accepted into society,"Born in U.S., P.R. or Territories",Agnostic or Atheist,NA,NA,A few times a year,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$20,000 to under $30,000",25-34,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,At least 1 person <18 yrs in HH,Metro,Rented for cash,Yes,0.1417,12
9,Pretty happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Mostly unfavorable,"A bigger government, providing more services",Most of the time,Some,Some,A lot,Some,A lot,To control gun ownership,"Immigrants today are a burden on our country because they take our jobs, housing and health care",You can't be too careful in dealing with people,Poor people today have it easy because they can get government benefits without doing anything in return,Good shape,Strongly favor,Strongly favor,Always,No,Republican,NA,Liberal,Male,"Living with a partner, including a civil union",NA,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Very important reason,Very important reason,Not an important reason,Gay,No,NA,gay,Only or mostly attracted to males,Not too important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Only a little,Only a little,12,NA,18,16,"No, did not tell my mother",NA,NA,NA,NA,N/A mom not part of life or died/sick,NA,NA,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was not difficult to tell him,Not change,"Yes, told one or more sisters",NA,Yes told sister,"Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,NA,NA,Some,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Neutral,Neutral,Unfriendly,Neutral,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Don't know,NA,NA,Some,Some,Some,Some,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Friendly,"Yes, conflict",A lot of conflict,Not a reason,Some,No,Yes,Some of them,Top priority,Top priority,Top priority,Very important but lower priority,Top priority,Very important but lower priority,Top priority,Never happened,"Yes, happened, but not in past 12 months",Never happened,"Yes, happened in past 12 months","Yes, happened, but not in past 12 months",Never happened,"No, never done this","Yes, in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","No, never done this","No, do not regularly discuss LGBT issues",NA,Yes,Male,NA,NA,Yes,No,NA,No,NA,NA,Retired,NA,NA,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,I don't want to be seen as different because of my {#\.POV_Q32},It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Nothing in particular,No,NA,Never,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$75,000 to under $100,000",75+,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.1417,13
10,Very happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Very favorable,"A bigger government, providing more services",Most of the time,Only a little,Only a little,A lot,Some,Some,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",NA,Only fair shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Liberal,Female,Never been married,Yes,Somewhat important reason,Very important reason,Very important reason,Very important reason,Very important reason,Very important reason,Not an important reason,Lesbian,No,NA,lesbian,Only or mostly attracted to females,Very important,Something positive,NA,No answer,NA,NA,NA,NA,NA,NA,NA,A lot,Some,A lot,7,NA,16,18,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Grow stronger,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was difficult to tell him,Grow stronger,Not applicable,No sisters or sisters not part of life,"N/A no sisters or died/sick, not part of life","Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Legal rights (general),NA,NA,Some,A little more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Friendly,Unfriendly,Neutral,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Barack Obama,NA,NA,Some,Some,Some,Some,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Neutral,Friendly,"No, no conflict",NA,Minor reason,A lot,No,No,Some of them,Top priority,Top priority,Top priority,Top priority,Not a priority at all,Top priority,Top priority,"Yes, happened, but not in past 12 months","Yes, happened in past 12 months","Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months",Never happened,"Yes, happened, but not in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","No, never done this","No, never done this","Yes, regularly discuss LGBT issues online",Yes,Yes,NA,Female,NA,NA,No,NA,NA,NA,Yes,Employed full-time,Very accepting,All or most of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",The best way to achieve equality is for LGBT people to be a part of  mainstream culture and institutions like marriage,I don't want to be seen as different because of my {#\.POV_Q32},It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Nothing in particular,No,NA,Seldom,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$40,000 to under $50,000",25-34,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,No people < 18 yrs in HH,Metro,Rented for cash,Yes,0.1417,14
